,Date,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away,Attempts_Home,Attempts_Away,Attempts_On_Target_Home,Attempts_On_Target_Away,Possession_Home,Possession_Away,Passes_Home,Passes_Away,Passing_Accuracy_Home,Passing_Accuracy_Away,Fouls_Home,Fouls_Away,Yellow_Cards_Home,Yellow_Cards_Away,Red_Cards_Home,Red_Cards_Away,Offside_Home,Offside_Away,Corners_Home,Corners_Away
0,13.8.2021,Spieltag 1 von 34,Mönchengladbach,Bayern,1,1,11,21,4,9,35,65,332,613,71,83,7,4,2,0,0,0,3,4,3,8
1,14.8.2021,Spieltag 1 von 34,Union Berlin,Leverkusen,1,1,8,16,5,3,33,67,309,633,70,85,13,5,0,1,0,0,2,2,1,6
2,14.8.2021,Spieltag 1 von 34,Augsburg,Hoffenheim,0,4,7,15,0,8,46,54,359,427,77,79,8,10,1,2,0,0,2,2,6,5
3,14.8.2021,Spieltag 1 von 34,Arminia,Freiburg,0,0,10,15,3,5,44,56,335,422,68,74,14,10,3,4,0,0,1,2,4,9
4,14.8.2021,Spieltag 1 von 34,Wolfsburg,Bochum,1,0,19,7,9,1,62,38,540,344,85,70,9,7,0,2,0,1,2,2,5,2
5,14.8.2021,Spieltag 1 von 34,VfB Stuttgart,Greuther Fürth,5,1,33,8,15,5,68,32,640,313,91,80,10,8,0,1,0,0,3,0,9,2
6,14.8.2021,Spieltag 1 von 34,Dortmund,Eintracht Frankfurt,5,2,13,10,7,3,61,39,591,379,84,76,5,14,0,0,0,0,4,1,7,3
7,15.8.2021,Spieltag 1 von 34,Mainz,RB Leipzig,1,0,8,13,2,2,28,72,241,618,58,83,10,8,1,2,0,0,2,2,5,11
8,15.8.2021,Spieltag 1 von 34,Köln,Hertha,3,1,14,10,5,5,60,40,447,311,79,70,18,14,4,2,0,0,2,3,4,5
9,20.8.2021,Spieltag 2 von 34,RB Leipzig,VfB Stuttgart,4,0,28,11,12,5,52,48,461,428,83,75,10,11,0,3,0,0,1,1,6,2
10,21.8.2021,Spieltag 2 von 34,Hertha,Wolfsburg,1,2,13,12,5,3,40,60,329,479,77,85,12,22,1,2,0,0,0,1,4,4
11,21.8.2021,Spieltag 2 von 34,Bochum,Mainz,2,0,8,15,4,3,42,58,325,428,70,75,15,20,4,3,0,0,1,1,2,7
12,21.8.2021,Spieltag 2 von 34,Freiburg,Dortmund,2,1,7,18,4,4,23,77,217,699,67,88,14,14,1,4,0,0,0,1,0,10
13,21.8.2021,Spieltag 2 von 34,Eintracht Frankfurt,Augsburg,0,0,21,4,5,0,63,37,497,303,75,58,9,10,3,3,0,0,1,2,6,1
14,21.8.2021,Spieltag 2 von 34,Greuther Fürth,Arminia,1,1,20,9,5,2,65,35,541,287,81,65,12,14,4,0,0,1,6,1,5,0
15,21.8.2021,Spieltag 2 von 34,Leverkusen,Mönchengladbach,4,0,12,11,6,6,47,53,429,479,83,84,10,11,4,2,0,0,5,2,7,3
16,22.8.2021,Spieltag 2 von 34,Hoffenheim,Union Berlin,2,2,7,12,3,8,65,35,602,323,83,68,9,10,1,1,0,1,2,5,6,5
17,22.8.2021,Spieltag 2 von 34,Bayern,Köln,3,2,18,10,6,3,58,42,545,396,81,76,14,10,1,1,0,0,0,1,3,4
18,27.8.2021,Spieltag 3 von 34,Dortmund,Hoffenheim,3,2,24,10,13,5,60,40,542,365,86,74,9,12,2,3,0,0,4,2,4,7
19,28.8.2021,Spieltag 3 von 34,VfB Stuttgart,Freiburg,2,3,17,15,7,7,65,35,546,300,83,69,10,14,2,1,0,0,1,0,8,5
20,28.8.2021,Spieltag 3 von 34,Mainz,Greuther Fürth,3,0,18,9,9,1,48,52,344,373,72,74,21,14,2,2,0,0,3,2,7,4
21,28.8.2021,Spieltag 3 von 34,Köln,Bochum,2,1,22,11,5,1,71,29,470,201,85,58,11,21,2,1,0,0,3,1,5,5
22,28.8.2021,Spieltag 3 von 34,Arminia,Eintracht Frankfurt,1,1,13,11,5,3,34,66,312,618,65,83,13,17,0,3,0,0,0,2,4,4
23,28.8.2021,Spieltag 3 von 34,Augsburg,Leverkusen,1,4,14,14,4,5,42,58,366,524,77,84,12,10,0,1,0,0,1,0,4,4
24,28.8.2021,Spieltag 3 von 34,Bayern,Hertha,5,0,16,7,6,3,64,36,619,360,87,77,4,5,0,0,0,0,0,3,8,3
25,29.8.2021,Spieltag 3 von 34,Union Berlin,Mönchengladbach,2,1,11,20,3,5,27,73,276,746,62,85,15,6,2,0,0,0,0,3,4,8
26,29.8.2021,Spieltag 3 von 34,Wolfsburg,RB Leipzig,1,0,8,11,2,2,47,53,376,424,75,77,13,18,4,2,0,0,3,0,7,7
27,11.9.2021,Spieltag 4 von 34,Leverkusen,Dortmund,3,4,11,14,5,6,42,58,373,527,78,82,10,11,4,3,0,0,1,0,4,3
28,11.9.2021,Spieltag 4 von 34,Union Berlin,Augsburg,0,0,16,14,5,6,61,39,495,324,82,74,10,12,1,2,0,0,1,1,6,4
29,11.9.2021,Spieltag 4 von 34,Freiburg,Köln,1,1,9,15,3,4,54,46,419,359,79,78,14,12,1,1,0,1,5,1,4,2
30,11.9.2021,Spieltag 4 von 34,Greuther Fürth,Wolfsburg,0,2,9,9,4,3,28,72,231,585,61,84,17,15,2,3,0,0,0,0,3,5
31,11.9.2021,Spieltag 4 von 34,Hoffenheim,Mainz,0,2,9,13,0,5,65,35,526,284,80,66,16,15,2,1,0,0,2,3,4,5
32,11.9.2021,Spieltag 4 von 34,RB Leipzig,Bayern,1,4,10,18,4,6,53,47,458,412,81,75,9,13,0,0,0,0,4,1,2,6
33,12.9.2021,Spieltag 4 von 34,Eintracht Frankfurt,VfB Stuttgart,1,1,17,9,4,3,58,42,472,361,80,67,13,12,1,3,0,1,2,1,6,6
34,12.9.2021,Spieltag 4 von 34,Bochum,Hertha,1,3,18,5,5,4,68,32,493,254,79,64,8,17,0,3,0,0,1,2,7,2
35,12.9.2021,Spieltag 4 von 34,Mönchengladbach,Arminia,3,1,18,18,4,7,65,35,609,324,87,75,10,18,1,1,0,0,2,0,3,4
36,17.9.2021,Spieltag 5 von 34,Hertha,Greuther Fürth,2,1,14,11,3,3,58,42,441,319,78,68,12,13,1,2,0,0,1,0,9,4
37,18.9.2021,Spieltag 5 von 34,Bayern,Bochum,7,0,24,5,15,0,70,30,676,297,85,72,5,9,1,1,0,0,2,5,2,2
38,18.9.2021,Spieltag 5 von 34,Augsburg,Mönchengladbach,1,0,5,11,1,0,28,72,231,586,64,86,12,9,1,2,0,0,5,2,2,6
39,18.9.2021,Spieltag 5 von 34,Mainz,Freiburg,0,0,11,7,3,1,45,55,331,397,64,71,18,16,2,1,0,0,3,1,4,4
40,18.9.2021,Spieltag 5 von 34,Arminia,Hoffenheim,0,0,9,16,2,3,41,59,386,541,81,82,16,2,2,1,0,0,3,1,5,6
41,18.9.2021,Spieltag 5 von 34,Köln,RB Leipzig,1,1,14,19,5,9,47,53,361,405,74,75,12,6,3,1,0,0,3,3,4,10
