,Spieltag,Datum,Sieger,Team_A,Team_B,Tore_A,Tore_B,Schüsse_A,Schüsse_B,Torschüsse_A,Torschüsse_B,Ballbesitz_A,Ballbesitz_B,Pässe_A,Pässe_B,Passgenauigkeit_A,Passgenauigkeit_B,Fouls_A,Fouls_B,Gelbe_A,Gelbe_B,Rote_A,Rote_B,Abseits_A,Abseits_B,Ecken_A,Ecken_B
0,1,23.8.24,B,Mönchengladbach,Leverkusen,2,3,14,25,7,10,42,58,444,612,82,86,11,7,1,0,0,0,2,0,2,4
1,1,24.8.24,A,RB Leipzig,Bochum,1,0,13,10,3,4,63,37,505,301,81,70,9,16,1,3,1,0,3,2,9,3
2,1,24.8.24,A,Hoffenheim,Holstein,3,2,21,17,8,6,55,45,460,383,83,79,8,14,2,1,0,1,2,1,8,6
3,1,24.8.24,U,Mainz,Union Berlin,1,1,14,15,3,5,54,46,379,323,77,71,10,15,1,3,0,0,1,1,8,9
4,1,24.8.24,A,Freiburg,VfB Stuttgart,3,1,16,9,6,2,32,68,309,646,76,88,7,10,2,1,0,0,3,0,6,3
5,1,24.8.24,U,Augsburg,Werder Bremen,2,2,11,11,3,5,45,55,381,462,81,83,11,10,3,1,0,0,1,2,4,2
6,1,24.8.24,A,Dortmund,Eintracht Frankfurt,2,0,20,7,5,2,71,29,709,295,91,82,6,3,0,1,0,0,0,1,7,7
7,1,25.8.24,B,Wolfsburg,Bayern,2,3,10,15,2,8,29,71,248,609,68,85,12,11,2,3,0,0,3,1,1,7
8,1,25.8.24,B,St. Pauli,Heidenheim,0,2,11,5,3,3,62,38,544,351,80,70,10,15,2,3,0,0,1,0,4,2
9,2,30.8.24,A,Union Berlin,St. Pauli,1,0,11,8,5,1,39,61,370,589,74,78,10,11,3,1,0,0,2,3,5,4
10,2,31.8.24,U,Werder Bremen,Dortmund,0,0,5,9,1,4,46,54,443,524,82,87,11,16,2,5,0,1,8,3,5,6
11,2,31.8.24,B,Holstein,Wolfsburg,0,2,13,13,5,5,55,45,412,332,82,74,17,14,4,7,0,0,2,1,1,7
12,2,31.8.24,U,VfB Stuttgart,Mainz,3,3,28,11,12,7,64,36,500,288,86,77,6,12,4,2,0,0,2,2,11,2
13,2,31.8.24,A,Eintracht Frankfurt,Hoffenheim,3,1,18,11,7,3,51,49,465,444,85,84,10,10,0,3,0,0,1,1,1,4
14,2,31.8.24,B,Bochum,Mönchengladbach,0,2,15,15,4,6,38,62,355,577,75,84,9,10,1,0,0,0,1,2,3,4
15,2,31.8.24,B,Leverkusen,RB Leipzig,2,3,26,8,10,4,63,37,577,352,86,82,7,8,3,1,0,0,0,5,18,2
16,2,1.9.24,A,Heidenheim,Augsburg,4,0,15,15,8,1,36,64,299,523,74,84,15,10,1,4,0,0,2,2,5,6
17,2,1.9.24,A,Bayern,Freiburg,2,0,12,9,3,3,67,33,704,351,89,74,13,12,1,0,0,0,1,0,2,4
18,3,13.9.24,A,Dortmund,Heidenheim,4,2,13,11,6,4,62,38,561,342,85,78,12,18,2,2,0,0,0,1,8,1
19,3,14.9.24,A,Freiburg,Bochum,2,1,26,13,9,3,55,45,438,375,78,73,5,16,0,3,0,0,7,2,5,6
20,3,14.9.24,B,Wolfsburg,Eintracht Frankfurt,1,2,18,14,4,6,60,40,501,344,81,78,7,18,1,2,0,0,0,3,5,4
21,3,14.9.24,B,Mönchengladbach,VfB Stuttgart,1,3,15,12,7,7,43,57,419,548,77,82,14,12,2,2,0,0,8,2,6,2
22,3,14.9.24,U,RB Leipzig,Union Berlin,0,0,15,10,3,3,68,32,745,350,88,74,8,19,2,3,0,0,1,1,6,5
23,3,14.9.24,B,Hoffenheim,Leverkusen,1,4,15,20,5,8,39,61,410,631,84,91,9,10,2,2,0,0,2,1,4,12
24,3,14.9.24,B,Holstein,Bayern,1,6,5,23,1,12,29,71,319,798,76,92,12,11,0,1,0,0,0,0,2,10
25,3,15.9.24,A,Augsburg,St. Pauli,3,1,18,11,9,3,43,57,317,434,74,79,12,10,4,3,0,0,1,2,7,7
26,3,15.9.24,B,Mainz,Werder Bremen,1,2,16,14,5,5,58,42,477,357,81,75,12,7,3,1,0,1,4,1,10,4
27,4,20.9.24,B,Augsburg,Mainz,2,3,29,5,8,3,74,26,541,202,84,57,7,12,3,3,1,1,1,2,14,1
28,5,27.9.24,A,Dortmund,Bochum,4,2,23,10,8,5,67,33,556,285,88,72,12,9,2,0,0,0,2,3,11,0
29,5,28.9.24,B,Mainz,Heidenheim,0,2,7,14,2,6,51,49,390,389,75,74,10,10,2,4,1,1,0,2,7,6
30,5,28.9.24,U,Wolfsburg,VfB Stuttgart,2,2,5,18,2,4,30,70,251,578,63,83,20,10,5,0,0,1,2,3,1,3
31,5,28.9.24,B,Freiburg,St. Pauli,0,3,9,10,2,4,74,26,632,235,86,65,7,18,3,3,0,0,7,1,4,2
32,5,28.9.24,A,RB Leipzig,Augsburg,4,0,17,7,7,1,60,40,560,384,85,78,9,13,1,2,0,0,1,1,8,5
33,5,28.9.24,A,Mönchengladbach,Union Berlin,1,0,8,9,2,2,64,36,610,341,83,68,11,12,3,1,0,0,3,1,2,4
34,5,28.9.24,U,Bayern,Leverkusen,1,1,18,3,3,2,70,30,714,319,90,74,11,15,1,3,0,0,0,0,6,1
35,5,29.9.24,B,Holstein,Eintracht Frankfurt,2,4,10,20,5,10,47,53,381,421,79,84,12,12,1,3,0,0,1,1,4,9
36,5,29.9.24,B,Hoffenheim,Werder Bremen,3,4,10,23,5,10,35,65,325,592,79,90,11,19,3,3,1,0,1,1,2,6
37,6,4.10.,A,Augsburg,Mönchengladbach,2,1,15,11,5,4,34,66,305,603,70,82,13,15,2,4,0,0,3,2,6,5
38,6,5.10.,B,Werder Bremen,Freiburg,0,1,12,15,3,3,59,41,614,441,84,80,7,9,1,1,0,0,0,0,7,5
39,6,5.10.,A,Union Berlin,Dortmund,2,1,14,8,5,4,32,68,278,593,66,83,15,17,4,4,0,0,4,0,3,3
40,6,5.10.,B,Bochum,Wolfsburg,1,3,18,17,5,5,58,42,406,307,76,66,11,12,1,2,0,0,5,1,7,6
41,6,5.10.,U,Leverkusen,Holstein,2,2,23,8,7,4,75,25,796,283,91,73,5,9,2,2,0,0,3,1,12,3
42,6,5.10.,B,St. Pauli,Mainz,0,3,19,8,4,4,56,44,504,420,79,76,12,16,0,3,0,0,1,1,2,2
43,6,6.10.,B,Heidenheim,RB Leipzig,0,1,14,13,4,2,45,55,397,491,72,79,12,13,2,2,0,0,1,2,3,2
44,6,6.10.,U,Eintracht Frankfurt,Bayern,3,3,6,24,4,13,25,75,305,853,77,91,10,6,1,1,0,0,3,5,0,11
45,6,6.10.,U,VfB Stuttgart,Hoffenheim,1,1,20,7,6,5,68,32,664,323,89,77,10,7,1,4,0,0,0,0,10,5
46,7,18.10.,A,Dortmund,St. Pauli,2,1,20,10,7,3,76,24,767,250,92,75,8,7,2,1,0,0,1,1,7,1
47,7,19.10.,A,Hoffenheim,Bochum,3,1,12,13,7,4,50,50,415,419,77,78,10,12,1,1,0,0,3,0,4,2
48,7,19.10.,A,Freiburg,Augsburg,3,1,15,9,6,3,57,43,575,429,82,81,11,7,1,1,0,0,0,2,5,4
49,7,19.10.,A,Leverkusen,Eintracht Frankfurt,2,1,27,9,9,2,54,46,545,470,91,87,9,5,2,1,0,0,2,2,8,3
50,7,19.10.,A,Mönchengladbach,Heidenheim,3,2,20,19,10,6,67,33,523,257,81,68,15,9,3,3,0,0,0,2,6,3
51,7,19.10.,B,Mainz,RB Leipzig,0,2,17,11,2,5,54,46,509,459,78,75,12,15,1,3,0,0,2,0,5,3
52,7,19.10.,A,Bayern,VfB Stuttgart,4,0,22,4,10,1,66,34,699,360,89,78,6,10,0,2,0,0,2,2,7,3
53,7,20.10.,B,Holstein,Union Berlin,0,2,12,14,5,4,47,53,433,480,79,82,8,11,2,1,0,0,1,4,7,3
54,7,20.10.,B,Wolfsburg,Werder Bremen,2,4,14,15,6,7,42,58,390,533,78,82,15,9,1,1,1,0,4,0,4,4
55,8,25.10.,U,Mainz,Mönchengladbach,1,1,23,9,6,5,52,48,473,441,80,77,16,16,3,2,0,0,2,0,2,4
56,8,26.10.,A,VfB Stuttgart,Holstein,2,1,16,9,6,3,59,41,528,368,88,80,6,17,1,4,1,1,2,3,9,5
57,9,1.11.,U,Leverkusen,VfB Stuttgart,0,0,19,4,5,1,52,48,447,433,83,80,13,14,3,4,0,0,9,0,10,2
58,9,2.11.,A,Eintracht Frankfurt,Bochum,7,2,18,11,9,8,65,35,588,310,85,71,6,15,1,2,0,0,0,1,5,2
59,9,2.11.,A,Holstein,Heidenheim,1,0,11,17,6,5,45,55,329,389,73,78,16,14,4,5,0,0,1,0,5,6
60,9,2.11.,U,Wolfsburg,Augsburg,1,1,18,3,6,1,70,30,624,269,85,67,7,14,1,3,0,0,0,1,8,1
61,9,2.11.,A,Bayern,Union Berlin,3,0,16,8,7,1,78,22,865,247,92,68,2,9,0,2,0,0,1,3,7,4
62,9,2.11.,B,Hoffenheim,St. Pauli,0,2,12,7,6,3,68,32,620,306,84,71,10,10,0,1,0,0,2,0,7,2
63,9,2.11.,A,Dortmund,RB Leipzig,2,1,20,7,7,3,56,44,517,406,82,79,11,12,3,4,0,0,2,2,4,0
64,9,3.11.,U,Freiburg,Mainz,0,0,10,9,2,2,51,49,482,459,78,78,9,12,1,2,0,0,2,2,8,4
65,9,3.11.,A,Mönchengladbach,Werder Bremen,4,1,16,15,8,5,47,53,487,531,81,85,12,10,1,2,0,1,2,1,7,7
66,10,8.11.,U,Union Berlin,Freiburg,0,0,12,14,6,4,40,60,373,574,76,83,11,8,2,0,0,0,4,1,4,1
67,10,9.11.,A,Werder Bremen,Holstein,2,1,16,12,5,5,61,39,534,359,83,71,10,19,3,2,0,0,0,2,6,3
68,10,9.11.,U,Bochum,Leverkusen,1,1,15,11,3,3,29,71,281,719,76,89,10,9,0,1,0,0,1,3,6,4
69,10,9.11.,A,Mainz,Dortmund,3,1,13,2,9,1,53,47,478,442,84,81,17,5,3,1,0,1,3,0,8,0
70,10,9.11.,B,St. Pauli,Bayern,0,1,3,13,0,6,25,75,268,826,73,89,10,7,2,2,0,0,0,2,5,10
71,10,9.11.,U,RB Leipzig,Mönchengladbach,0,0,12,14,5,4,62,38,616,379,86,80,14,7,2,2,0,0,2,4,8,4
72,10,10.11.,U,Augsburg,Hoffenheim,0,0,16,11,4,2,44,56,442,561,81,83,16,7,2,3,0,0,2,3,10,6
73,10,10.11.,B,VfB Stuttgart,Eintracht Frankfurt,2,3,22,8,11,5,61,39,561,373,85,77,10,15,2,2,0,0,5,4,8,3
74,10,10.11.,B,Heidenheim,Wolfsburg,1,3,19,13,4,6,66,34,507,272,83,69,9,23,1,6,0,0,4,0,5,5
75,11,22.11.,A,Bayern,Augsburg,3,0,33,2,14,1,80,20,881,218,92,70,9,9,0,0,0,1,1,0,8,0
76,11,23.11.,A,Dortmund,Freiburg,4,0,19,7,7,3,60,40,633,439,90,82,11,4,1,0,0,2,0,0,7,0
77,11,23.11.,A,Wolfsburg,Union Berlin,1,0,10,11,5,4,56,44,510,410,82,81,7,15,1,2,0,0,1,2,8,5
78,11,23.11.,A,Leverkusen,Heidenheim,5,2,20,6,10,3,79,21,948,252,91,71,8,11,0,0,0,0,0,1,6,0
79,11,23.11.,A,VfB Stuttgart,Bochum,2,0,15,9,5,2,58,42,591,420,86,82,7,16,2,3,0,0,2,1,7,4
80,11,23.11.,A,Hoffenheim,RB Leipzig,4,3,20,14,7,6,60,40,508,339,83,76,14,12,2,1,0,0,1,4,4,3
81,11,23.11.,A,Eintracht Frankfurt,Werder Bremen,1,0,15,8,5,1,50,50,475,467,82,79,15,9,2,2,0,0,1,4,5,6
82,11,24.11.,B,Holstein,Mainz,0,3,7,18,2,7,38,62,350,556,75,84,11,7,1,0,0,0,1,2,2,6
83,11,24.11.,A,Mönchengladbach,St. Pauli,2,0,15,15,4,3,49,51,546,550,88,87,7,8,1,0,0,0,1,3,5,4
