Match_ID,Attempts_Home,Attempts_Away,Attempts_On_Target_Home,Attempts_On_Target_Away,Possession_Home,Possession_Away,Passes_Home,Passes_Away,Passing_Accuracy_Home,Passing_Accuracy_Away,Fouls_Home,Fouls_Away,Yellow_Cards_Home,Yellow_Cards_Away,Red_Cards_Home,Red_Cards_Away,Offside_Home,Offside_Away,Corners_Home,Corners_Away
18.9.2020_Bayern_Schalke_8_0,21,5,12,1,63,37,604,361,89,74,11,12,1,2,0,0,3,3,9,2
19.9.2020_VfB Stuttgart_Freiburg_2_3,26,7,7,6,65,35,551,308,82,70,12,16,2,2,0,0,0,3,7,2
19.9.2020_Eintracht Frankfurt_Arminia_1_1,18,12,6,4,63,37,533,331,79,69,14,13,2,2,0,0,2,1,14,3
19.9.2020_Union Berlin_Augsburg_1_3,15,9,3,5,59,41,533,386,81,74,9,9,2,0,0,0,4,1,8,1
19.9.2020_Werder Bremen_Hertha_1_4,16,13,6,6,44,56,334,431,69,79,13,17,2,0,0,0,0,0,7,4
19.9.2020_Köln_Hoffenheim_2_3,13,13,6,7,49,51,446,456,79,78,12,13,3,4,0,0,0,2,1,6
19.9.2020_Dortmund_Mönchengladbach_3_0,10,8,4,2,47,53,530,585,87,88,10,9,1,1,0,0,2,2,1,3
20.9.2020_RB Leipzig_Mainz_3_1,23,9,10,1,73,27,746,268,88,72,5,11,1,2,0,0,1,3,7,5
20.9.2020_Wolfsburg_Leverkusen_0_0,9,7,1,3,40,60,390,576,74,81,14,12,1,2,0,0,3,3,4,4
25.9.2020_Hertha_Eintracht Frankfurt_1_3,12,11,6,3,57,43,484,381,83,75,13,16,3,4,0,0,1,0,4,3
26.9.2020_Leverkusen_RB Leipzig_1_1,11,7,4,2,60,40,559,380,83,70,16,10,1,3,0,0,6,0,4,1
26.9.2020_Augsburg_Dortmund_2_0,6,18,4,6,20,80,204,817,65,91,7,8,3,4,0,0,3,0,3,11
26.9.2020_Mönchengladbach_Union Berlin_1_1,14,14,6,2,63,37,633,372,84,72,11,16,1,2,0,0,4,0,7,5
26.9.2020_Arminia_Köln_1_0,7,12,2,2,47,53,404,444,83,79,12,16,3,3,0,0,1,0,4,7
26.9.2020_Mainz_VfB Stuttgart_1_4,12,15,2,7,49,51,425,441,79,80,9,17,0,2,1,1,1,0,3,9
26.9.2020_Schalke_Werder Bremen_1_3,18,17,4,7,66,34,502,257,75,51,20,14,5,2,1,0,2,3,8,3
27.9.2020_Hoffenheim_Bayern_4_1,17,16,8,3,28,72,247,628,62,85,15,10,3,2,0,0,1,5,3,6
27.9.2020_Freiburg_Wolfsburg_1_1,19,8,7,2,54,46,423,389,78,76,11,13,0,3,0,0,3,0,9,1
2.10.2020_Union Berlin_Mainz_4_0,11,5,7,0,51,49,488,478,79,77,13,11,1,4,0,0,2,1,4,2
3.10.2020_VfB Stuttgart_Leverkusen_1_1,12,15,3,6,47,53,430,467,77,80,8,17,3,2,0,0,1,1,7,12
3.10.2020_Köln_Mönchengladbach_1_3,8,15,2,11,40,60,399,602,74,84,16,12,3,3,0,0,0,2,4,10
3.10.2020_Eintracht Frankfurt_Hoffenheim_2_1,16,12,8,4,52,48,490,469,77,77,12,8,2,3,0,0,9,1,5,7
3.10.2020_Dortmund_Freiburg_4_0,16,6,7,2,67,33,769,387,89,81,8,12,1,1,0,0,1,0,3,2
3.10.2020_Werder Bremen_Arminia_1_0,7,9,2,4,36,64,318,565,71,82,12,16,2,2,0,0,6,2,2,1
3.10.2020_RB Leipzig_Schalke_4_0,22,5,7,1,68,32,630,309,90,72,14,10,1,3,0,0,3,1,8,1
4.10.2020_Wolfsburg_Augsburg_0_0,18,8,6,1,64,36,611,347,83,67,7,13,0,1,0,0,3,0,12,2
4.10.2020_Bayern_Hertha_4_3,22,10,9,5,68,32,568,277,85,73,13,19,3,3,0,0,2,6,6,1
17.10.2020_Mainz_Leverkusen_0_1,6,9,0,5,38,62,372,597,77,85,12,6,3,1,0,0,5,4,6,2
17.10.2020_Hoffenheim_Dortmund_0_1,9,15,3,5,45,55,459,567,80,82,13,11,1,1,0,0,0,3,4,6
17.10.2020_Augsburg_RB Leipzig_0_2,5,16,2,5,32,68,309,645,68,84,9,13,0,1,0,0,5,1,5,8
17.10.2020_Hertha_VfB Stuttgart_0_2,15,7,4,2,64,36,541,309,83,67,14,10,2,2,0,0,1,1,6,4
17.10.2020_Freiburg_Werder Bremen_1_1,20,13,4,4,63,37,523,312,84,75,10,14,3,3,0,0,2,1,4,4
17.10.2020_Arminia_Bayern_1_4,11,17,5,9,33,67,344,665,78,90,6,6,1,0,0,1,2,2,6,10
17.10.2020_Mönchengladbach_Wolfsburg_1_1,13,15,2,6,48,52,416,452,76,73,14,13,2,2,0,0,2,4,5,4
18.10.2020_Köln_Eintracht Frankfurt_1_1,9,17,5,4,40,60,357,532,68,75,19,18,3,2,0,0,4,0,2,8
18.10.2020_Schalke_Union Berlin_1_1,8,11,4,6,54,46,493,423,79,74,7,13,3,1,0,0,2,2,5,7
23.10.2020_VfB Stuttgart_Köln_1_1,8,15,4,4,58,42,553,385,83,78,11,12,2,5,0,0,1,1,3,5
24.10.2020_Union Berlin_Freiburg_1_1,19,8,7,4,51,49,402,395,78,76,9,14,1,4,0,0,2,0,4,2
24.10.2020_RB Leipzig_Hertha_2_1,26,9,8,2,68,32,543,257,84,67,11,21,1,2,0,1,2,0,7,3
24.10.2020_Mainz_Mönchengladbach_2_3,15,21,7,12,40,60,402,609,71,82,18,11,5,3,0,0,1,2,3,7
