Match_ID,Date,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away
18.9.2020_Bayern_Schalke_8_0,18.9.2020,Spieltag 1 von 34,Bayern,Schalke,8,0
19.9.2020_VfB Stuttgart_Freiburg_2_3,19.9.2020,Spieltag 1 von 34,VfB Stuttgart,Freiburg,2,3
19.9.2020_Eintracht Frankfurt_Arminia_1_1,19.9.2020,Spieltag 1 von 34,Eintracht Frankfurt,Arminia,1,1
19.9.2020_Union Berlin_Augsburg_1_3,19.9.2020,Spieltag 1 von 34,Union Berlin,Augsburg,1,3
19.9.2020_Werder Bremen_Hertha_1_4,19.9.2020,Spieltag 1 von 34,Werder Bremen,Hertha,1,4
19.9.2020_Köln_Hoffenheim_2_3,19.9.2020,Spieltag 1 von 34,Köln,Hoffenheim,2,3
19.9.2020_Dortmund_Mönchengladbach_3_0,19.9.2020,Spieltag 1 von 34,Dortmund,Mönchengladbach,3,0
20.9.2020_RB Leipzig_Mainz_3_1,20.9.2020,Spieltag 1 von 34,RB Leipzig,Mainz,3,1
20.9.2020_Wolfsburg_Leverkusen_0_0,20.9.2020,Spieltag 1 von 34,Wolfsburg,Leverkusen,0,0
25.9.2020_Hertha_Eintracht Frankfurt_1_3,25.9.2020,Spieltag 2 von 34,Hertha,Eintracht Frankfurt,1,3
26.9.2020_Leverkusen_RB Leipzig_1_1,26.9.2020,Spieltag 2 von 34,Leverkusen,RB Leipzig,1,1
26.9.2020_Augsburg_Dortmund_2_0,26.9.2020,Spieltag 2 von 34,Augsburg,Dortmund,2,0
26.9.2020_Mönchengladbach_Union Berlin_1_1,26.9.2020,Spieltag 2 von 34,Mönchengladbach,Union Berlin,1,1
26.9.2020_Arminia_Köln_1_0,26.9.2020,Spieltag 2 von 34,Arminia,Köln,1,0
26.9.2020_Mainz_VfB Stuttgart_1_4,26.9.2020,Spieltag 2 von 34,Mainz,VfB Stuttgart,1,4
26.9.2020_Schalke_Werder Bremen_1_3,26.9.2020,Spieltag 2 von 34,Schalke,Werder Bremen,1,3
27.9.2020_Hoffenheim_Bayern_4_1,27.9.2020,Spieltag 2 von 34,Hoffenheim,Bayern,4,1
27.9.2020_Freiburg_Wolfsburg_1_1,27.9.2020,Spieltag 2 von 34,Freiburg,Wolfsburg,1,1
2.10.2020_Union Berlin_Mainz_4_0,2.10.2020,Spieltag 3 von 34,Union Berlin,Mainz,4,0
3.10.2020_VfB Stuttgart_Leverkusen_1_1,3.10.2020,Spieltag 3 von 34,VfB Stuttgart,Leverkusen,1,1
3.10.2020_Köln_Mönchengladbach_1_3,3.10.2020,Spieltag 3 von 34,Köln,Mönchengladbach,1,3
3.10.2020_Eintracht Frankfurt_Hoffenheim_2_1,3.10.2020,Spieltag 3 von 34,Eintracht Frankfurt,Hoffenheim,2,1
3.10.2020_Dortmund_Freiburg_4_0,3.10.2020,Spieltag 3 von 34,Dortmund,Freiburg,4,0
3.10.2020_Werder Bremen_Arminia_1_0,3.10.2020,Spieltag 3 von 34,Werder Bremen,Arminia,1,0
