Match_ID,Date,League,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away
5.8.2022_Eintracht Frankfurt_Bayern_1_6,5.8.2022,1. Bundesliga,Spieltag 1 von 34,Eintracht Frankfurt,Bayern,1,6
6.8.2022_Union Berlin_Hertha_3_1,6.8.2022,1. Bundesliga,Spieltag 1 von 34,Union Berlin,Hertha,3,1
6.8.2022_Mönchengladbach_Hoffenheim_3_1,6.8.2022,1. Bundesliga,Spieltag 1 von 34,Mönchengladbach,Hoffenheim,3,1
6.8.2022_Bochum_Mainz_1_2,6.8.2022,1. Bundesliga,Spieltag 1 von 34,Bochum,Mainz,1,2
6.8.2022_Augsburg_Freiburg_0_4,6.8.2022,1. Bundesliga,Spieltag 1 von 34,Augsburg,Freiburg,0,4
6.8.2022_Wolfsburg_Werder Bremen_2_2,6.8.2022,1. Bundesliga,Spieltag 1 von 34,Wolfsburg,Werder Bremen,2,2
6.8.2022_Dortmund_Leverkusen_1_0,6.8.2022,1. Bundesliga,Spieltag 1 von 34,Dortmund,Leverkusen,1,0
7.8.2022_VfB Stuttgart_RB Leipzig_1_1,7.8.2022,1. Bundesliga,Spieltag 1 von 34,VfB Stuttgart,RB Leipzig,1,1
7.8.2022_Köln_Schalke_3_1,7.8.2022,1. Bundesliga,Spieltag 1 von 34,Köln,Schalke,3,1
12.8.2022_Freiburg_Dortmund_1_3,12.8.2022,1. Bundesliga,Spieltag 2 von 34,Freiburg,Dortmund,1,3
13.8.2022_Hoffenheim_Bochum_3_2,13.8.2022,1. Bundesliga,Spieltag 2 von 34,Hoffenheim,Bochum,3,2
13.8.2022_Werder Bremen_VfB Stuttgart_2_2,13.8.2022,1. Bundesliga,Spieltag 2 von 34,Werder Bremen,VfB Stuttgart,2,2
13.8.2022_RB Leipzig_Köln_2_2,13.8.2022,1. Bundesliga,Spieltag 2 von 34,RB Leipzig,Köln,2,2
13.8.2022_Leverkusen_Augsburg_1_2,13.8.2022,1. Bundesliga,Spieltag 2 von 34,Leverkusen,Augsburg,1,2
13.8.2022_Hertha_Eintracht Frankfurt_1_1,13.8.2022,1. Bundesliga,Spieltag 2 von 34,Hertha,Eintracht Frankfurt,1,1
