,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin
27.5.2024_0_pen._–_Bochum,27.5.2024,0,pen.,–,Bochum,2.04,3.67,3.3,,,,2.0,3.6,3.15,2.07,3.7,3.35,,,
23.5.2024_Bochum_Dusseldorf_0_3,23.5.2024,Bochum,Dusseldorf,0,3,2.15,3.47,3.22,,,,2.09,3.4,3.15,2.18,3.55,3.25,,,
18.5.2024_Bayer Leverkusen_Augsburg_2_1,18.5.2024,Bayer Leverkusen,Augsburg,2,1,1.19,7.3,12.5,,,,1.2,7.0,12.0,1.19,7.4,13.0,,,
18.5.2024_Dortmund_Darmstadt_4_0,18.5.2024,Dortmund,Darmstadt,4,0,1.13,9.67,17.83,,,,1.13,10.0,17.0,1.13,9.0,18.0,,,
18.5.2024_Eintracht Frankfurt_RB Leipzig_2_2,18.5.2024,Eintracht Frankfurt,RB Leipzig,2,2,2.28,3.7,2.9,,,,2.27,3.7,2.9,2.32,3.65,2.9,,,
18.5.2024_Heidenheim_FC Koln_4_1,18.5.2024,Heidenheim,FC Koln,4,1,2.09,3.9,3.13,,,,2.09,4.0,3.1,2.1,3.9,3.15,,,
18.5.2024_Hoffenheim_Bayern Munich_4_2,18.5.2024,Hoffenheim,Bayern Munich,4,2,3.38,4.29,1.91,,,,3.4,4.33,1.91,3.3,4.3,1.95,,,
18.5.2024_Union Berlin_Freiburg_2_1,18.5.2024,Union Berlin,Freiburg,2,1,1.9,3.68,3.9,,,,1.88,3.7,4.0,1.93,3.65,3.9,,,
18.5.2024_Stuttgart_B. Monchengladbach_4_0,18.5.2024,Stuttgart,B. Monchengladbach,4,0,1.24,6.9,10.25,,,,1.22,7.5,10.0,1.27,6.4,9.75,,,
18.5.2024_Werder Bremen_Bochum_4_1,18.5.2024,Werder Bremen,Bochum,4,1,2.11,3.75,3.22,,,,2.11,3.8,3.2,2.15,3.7,3.2,,,
