,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin,Upcoming
10.1.2025_Dortmund_Bayer Leverkusen_None_None,10.1.2025,Dortmund,Bayer Leverkusen,,,2.86,3.49,2.38,2.87,3.60,2.30,2.85,3.40,2.45,2.87,3.45,2.42,2.65,3.60,2.50,True
11.1.2025_Freiburg_Holstein Kiel_None_None,11.1.2025,Freiburg,Holstein Kiel,,,1.39,4.83,7.63,1.37,4.75,7.50,1.38,5.00,7.50,1.39,4.85,8.00,1.38,5.00,7.75,True
11.1.2025_Heidenheim_Union Berlin_None_None,11.1.2025,Heidenheim,Union Berlin,,,3.26,3.19,2.30,3.20,3.25,2.30,3.30,3.20,2.30,3.30,3.15,2.32,3.10,3.25,2.35,True
11.1.2025_Hoffenheim_Wolfsburg_None_None,11.1.2025,Hoffenheim,Wolfsburg,,,2.39,3.46,2.89,2.37,3.60,2.80,2.40,3.40,2.95,2.42,3.35,2.95,2.35,3.50,2.90,True
11.1.2025_Mainz_Bochum_None_None,11.1.2025,Mainz,Bochum,,,1.55,4.23,5.79,1.50,4.33,5.75,1.55,4.30,5.75,1.57,4.20,5.80,1.53,4.33,5.75,True
11.1.2025_St. Pauli_Eintracht Frankfurt_None_None,11.1.2025,St. Pauli,Eintracht Frankfurt,,,3.69,3.40,2.06,3.70,3.50,2.05,3.75,3.35,2.05,3.75,3.30,2.10,3.40,3.60,2.05,True
11.1.2025_B. Monchengladbach_Bayern Munich_None_None,11.1.2025,B. Monchengladbach,Bayern Munich,,,6.73,5.09,1.40,6.50,5.00,1.39,7.00,5.25,1.38,7.00,5.10,1.40,6.25,5.25,1.42,True
12.1.2025_RB Leipzig_Werder Bremen_None_None,12.1.2025,RB Leipzig,Werder Bremen,,,1.74,4.05,4.26,1.72,4.00,4.20,1.75,4.10,4.30,1.75,4.05,4.35,1.75,4.10,4.20,True
12.1.2025_Augsburg_Stuttgart_None_None,12.1.2025,Augsburg,Stuttgart,,,3.66,3.59,1.99,3.60,3.60,2.00,3.70,3.65,1.95,3.70,3.60,2.00,3.50,3.60,2.00,True
14.1.2025_Holstein Kiel_Dortmund_None_None,14.1.2025,Holstein Kiel,Dortmund,,,5.90,4.93,1.45,5.75,5.00,1.41,5.75,4.90,1.45,5.90,5.00,1.47,6.00,4.80,1.47,True
14.1.2025_Bayer Leverkusen_Mainz_None_None,14.1.2025,Bayer Leverkusen,Mainz,,,1.42,4.72,6.54,1.41,4.75,6.25,1.40,4.90,6.50,1.45,4.65,6.70,1.46,4.60,6.50,True
14.1.2025_Eintracht Frankfurt_Freiburg_None_None,14.1.2025,Eintracht Frankfurt,Freiburg,,,1.72,4.04,4.29,1.69,4.00,4.20,1.70,4.10,4.30,1.75,4.10,4.35,1.73,4.00,4.33,True
14.1.2025_Wolfsburg_B. Monchengladbach_None_None,14.1.2025,Wolfsburg,B. Monchengladbach,,,1.94,3.84,3.51,1.92,3.80,3.50,1.93,3.95,3.50,1.98,3.85,3.50,1.98,3.75,3.50,True
15.1.2025_Bochum_St. Pauli_None_None,15.1.2025,Bochum,St. Pauli,,,2.47,3.38,2.80,2.45,3.50,2.70,2.45,3.30,2.85,2.50,3.35,2.85,2.45,3.40,2.75,True
15.1.2025_Bayern Munich_Hoffenheim_None_None,15.1.2025,Bayern Munich,Hoffenheim,,,1.12,9.05,16.75,1.10,8.50,19.00,1.12,10.00,14.00,1.15,8.50,16.50,1.13,9.25,18.50,True
15.1.2025_Union Berlin_Augsburg_None_None,15.1.2025,Union Berlin,Augsburg,,,1.85,3.43,4.40,1.82,3.40,4.50,1.85,3.45,4.40,1.88,3.45,4.35,1.87,3.40,4.33,True
15.1.2025_Stuttgart_RB Leipzig_None_None,15.1.2025,Stuttgart,RB Leipzig,,,2.14,3.66,3.19,2.15,3.80,3.10,2.15,3.55,3.30,2.15,3.55,3.25,2.15,3.75,3.10,True
15.1.2025_Werder Bremen_Heidenheim_None_None,15.1.2025,Werder Bremen,Heidenheim,,,1.60,4.21,5.11,1.57,4.20,5.25,1.60,4.30,5.00,1.62,4.25,5.00,1.58,4.33,5.25,True
