,Date,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away
2.8.2024_Köln_HSV_1_2,2.8.2024,Spieltag 1 von 34,Köln,HSV,1,2
3.8.2024_1. FC Magdeburg_Elversberg_0_0,3.8.2024,Spieltag 1 von 34,1. FC Magdeburg,Elversberg,0,0
3.8.2024_Hertha_SC Paderborn_1_2,3.8.2024,Spieltag 1 von 34,Hertha,SC Paderborn,1,2
3.8.2024_KSC_FCN_3_2,3.8.2024,Spieltag 1 von 34,KSC,FCN,3,2
3.8.2024_Hannover 96_Jahn Regensburg_2_0,3.8.2024,Spieltag 1 von 34,Hannover 96,Jahn Regensburg,2,0
3.8.2024_Schalke_BTSV_5_1,3.8.2024,Spieltag 1 von 34,Schalke,BTSV,5,1
4.8.2024_Greuther Fürth_Preußen Münster_3_1,4.8.2024,Spieltag 1 von 34,Greuther Fürth,Preußen Münster,3,1
4.8.2024_Darmstadt 98_Düsseldorf_0_2,4.8.2024,Spieltag 1 von 34,Darmstadt 98,Düsseldorf,0,2
4.8.2024_SSV Ulm 1846_FCK_1_2,4.8.2024,Spieltag 1 von 34,SSV Ulm 1846,FCK,1,2
9.8.2024_FCK_Greuther Fürth_2_2,9.8.2024,Spieltag 2 von 34,FCK,Greuther Fürth,2,2
9.8.2024_Jahn Regensburg_SSV Ulm 1846_1_0,9.8.2024,Spieltag 2 von 34,Jahn Regensburg,SSV Ulm 1846,1,0
10.8.2024_Düsseldorf_KSC_0_0,10.8.2024,Spieltag 2 von 34,Düsseldorf,KSC,0,0
10.8.2024_Elversberg_Köln_2_2,10.8.2024,Spieltag 2 von 34,Elversberg,Köln,2,2
10.8.2024_FCN_Schalke_3_1,10.8.2024,Spieltag 2 von 34,FCN,Schalke,3,1
10.8.2024_HSV_Hertha_1_1,10.8.2024,Spieltag 2 von 34,HSV,Hertha,1,1
11.8.2024_BTSV_1. FC Magdeburg_1_3,11.8.2024,Spieltag 2 von 34,BTSV,1. FC Magdeburg,1,3
11.8.2024_SC Paderborn_Darmstadt 98_3_1,11.8.2024,Spieltag 2 von 34,SC Paderborn,Darmstadt 98,3,1
11.8.2024_Preußen Münster_Hannover 96_0_0,11.8.2024,Spieltag 2 von 34,Preußen Münster,Hannover 96,0,0
23.8.2024_KSC_Elversberg_3_2,23.8.2024,Spieltag 3 von 34,KSC,Elversberg,3,2
23.8.2024_Hannover 96_HSV_1_0,23.8.2024,Spieltag 3 von 34,Hannover 96,HSV,1,0
24.8.2024_Hertha_Jahn Regensburg_2_0,24.8.2024,Spieltag 3 von 34,Hertha,Jahn Regensburg,2,0
24.8.2024_Greuther Fürth_SC Paderborn_1_1,24.8.2024,Spieltag 3 von 34,Greuther Fürth,SC Paderborn,1,1
24.8.2024_Preußen Münster_FCK_0_1,24.8.2024,Spieltag 3 von 34,Preußen Münster,FCK,0,1
24.8.2024_Köln_BTSV_5_0,24.8.2024,Spieltag 3 von 34,Köln,BTSV,5,0
25.8.2024_Darmstadt 98_FCN_1_1,25.8.2024,Spieltag 3 von 34,Darmstadt 98,FCN,1,1
25.8.2024_1. FC Magdeburg_Schalke_2_2,25.8.2024,Spieltag 3 von 34,1. FC Magdeburg,Schalke,2,2
25.8.2024_SSV Ulm 1846_Düsseldorf_1_2,25.8.2024,Spieltag 3 von 34,SSV Ulm 1846,Düsseldorf,1,2
30.8.2024_Düsseldorf_Hannover 96_1_0,30.8.2024,Spieltag 4 von 34,Düsseldorf,Hannover 96,1,0
30.8.2024_Jahn Regensburg_Greuther Fürth_0_4,30.8.2024,Spieltag 4 von 34,Jahn Regensburg,Greuther Fürth,0,4
31.8.2024_Elversberg_Darmstadt 98_4_0,31.8.2024,Spieltag 4 von 34,Elversberg,Darmstadt 98,4,0
31.8.2024_HSV_Preußen Münster_4_1,31.8.2024,Spieltag 4 von 34,HSV,Preußen Münster,4,1
31.8.2024_FCN_1. FC Magdeburg_0_4,31.8.2024,Spieltag 4 von 34,FCN,1. FC Magdeburg,0,4
31.8.2024_FCK_Hertha_3_4,31.8.2024,Spieltag 4 von 34,FCK,Hertha,3,4
1.9.2024_BTSV_KSC_1_2,1.9.2024,Spieltag 4 von 34,BTSV,KSC,1,2
1.9.2024_SC Paderborn_SSV Ulm 1846_0_0,1.9.2024,Spieltag 4 von 34,SC Paderborn,SSV Ulm 1846,0,0
1.9.2024_Schalke_Köln_1_3,1.9.2024,Spieltag 4 von 34,Schalke,Köln,1,3
13.9.2024_KSC_Schalke_2_0,13.9.2024,Spieltag 5 von 34,KSC,Schalke,2,0
13.9.2024_Preußen Münster_SC Paderborn_3_3,13.9.2024,Spieltag 5 von 34,Preußen Münster,SC Paderborn,3,3
14.9.2024_SSV Ulm 1846_FCN_1_2,14.9.2024,Spieltag 5 von 34,SSV Ulm 1846,FCN,1,2
14.9.2024_Hannover 96_FCK_3_1,14.9.2024,Spieltag 5 von 34,Hannover 96,FCK,3,1
14.9.2024_Darmstadt 98_BTSV_1_1,14.9.2024,Spieltag 5 von 34,Darmstadt 98,BTSV,1,1
14.9.2024_Köln_1. FC Magdeburg_1_2,14.9.2024,Spieltag 5 von 34,Köln,1. FC Magdeburg,1,2
15.9.2024_Greuther Fürth_Elversberg_0_0,15.9.2024,Spieltag 5 von 34,Greuther Fürth,Elversberg,0,0
15.9.2024_Hertha_Düsseldorf_0_2,15.9.2024,Spieltag 5 von 34,Hertha,Düsseldorf,0,2
15.9.2024_HSV_Jahn Regensburg_5_0,15.9.2024,Spieltag 5 von 34,HSV,Jahn Regensburg,5,0
20.9.2024_Schalke_Darmstadt 98_3_5,20.9.2024,Spieltag 6 von 34,Schalke,Darmstadt 98,3,5
20.9.2024_SC Paderborn_Hannover 96_2_1,20.9.2024,Spieltag 6 von 34,SC Paderborn,Hannover 96,2,1
21.9.2024_BTSV_Greuther Fürth_2_0,21.9.2024,Spieltag 6 von 34,BTSV,Greuther Fürth,2,0
21.9.2024_FCN_Hertha_0_2,21.9.2024,Spieltag 6 von 34,FCN,Hertha,0,2
21.9.2024_Düsseldorf_Köln_2_2,21.9.2024,Spieltag 6 von 34,Düsseldorf,Köln,2,2
21.9.2024_FCK_HSV_2_2,21.9.2024,Spieltag 6 von 34,FCK,HSV,2,2
22.9.2024_1. FC Magdeburg_KSC_2_2,22.9.2024,Spieltag 6 von 34,1. FC Magdeburg,KSC,2,2
22.9.2024_Jahn Regensburg_Preußen Münster_0_3,22.9.2024,Spieltag 6 von 34,Jahn Regensburg,Preußen Münster,0,3
22.9.2024_Elversberg_SSV Ulm 1846_1_3,22.9.2024,Spieltag 6 von 34,Elversberg,SSV Ulm 1846,1,3
