Match_ID,Date,League,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin,Attempts_Home,Attempts_Away,Attempts_On_Target_Home,Attempts_On_Target_Away,Possession_Home,Possession_Away,Passes_Home,Passes_Away,Passing_Accuracy_Home,Passing_Accuracy_Away,Fouls_Home,Fouls_Away,Yellow_Cards_Home,Yellow_Cards_Away,Red_Cards_Home,Red_Cards_Away,Offside_Home,Offside_Away,Corners_Home,Corners_Away,Points_Home,Points_Away,Rolling_Goals_Home,Rolling_Goals_Away,Rolling_Odds_Home_Average,Rolling_Odds_Away_Average,Rolling_Odds_Home_Bet365,Rolling_Odds_Away_Bet365,Rolling_Odds_Home_bet-at-home,Rolling_Odds_Away_bet-at-home,Rolling_Odds_Home_Betano,Rolling_Odds_Away_Betano,Rolling_Odds_Home_Bwin,Rolling_Odds_Away_Bwin,Rolling_Attempts_Home,Rolling_Attempts_Away,Rolling_Attempts_On_Target_Home,Rolling_Attempts_On_Target_Away,Rolling_Possession_Home,Rolling_Possession_Away,Rolling_Passes_Home,Rolling_Passes_Away,Rolling_Passing_Accuracy_Home,Rolling_Passing_Accuracy_Away,Rolling_Fouls_Home,Rolling_Fouls_Away,Rolling_Yellow_Cards_Home,Rolling_Yellow_Cards_Away,Rolling_Red_Cards_Home,Rolling_Red_Cards_Away,Rolling_Offside_Home,Rolling_Offside_Away,Rolling_Corners_Home,Rolling_Corners_Away,Rolling_Points_Home,Rolling_Points_Away
1.10.2021_FC Koln_Greuther Furth_3_1,2021-10-01,1. Bundesliga,Spieltag 7 von 34,FC Koln,Greuther Furth,3,1,1.36,5.0,7.5,1.36,5.0,7.5,1.36,5.0,7.5,1.36,5.0,7.5,1.36,5.0,7.5,18.0,7.0,8.0,3.0,68.0,32.0,470.0,236.0,80.0,59.0,16.0,18.0,1.0,1.0,0.0,0.0,1.0,2.0,8.0,1.0,3,0,2.0,0.6666666666666666,2.6133333333333333,5.066666666666666,2.6133333333333333,5.066666666666666,2.6133333333333333,5.066666666666666,2.6133333333333333,5.066666666666666,2.6133333333333333,5.066666666666666,16.666666666666668,9.333333333333334,5.0,3.0,59.333333333333336,42.0,426.0,335.0,79.33333333333333,74.0,13.666666666666666,11.666666666666666,3.0,1.6666666666666667,0.0,0.0,2.6666666666666665,0.6666666666666666,4.333333333333333,3.3333333333333335,2.3333333333333335,0.0
2.10.2021_Stuttgart_Hoffenheim_3_1,2021-10-02,1. Bundesliga,Spieltag 7 von 34,Stuttgart,Hoffenheim,3,1,2.8,3.8,2.3,2.8,3.8,2.3,2.8,3.8,2.3,2.8,3.8,2.3,2.8,3.8,2.3,14.0,13.0,6.0,4.0,40.0,60.0,361.0,522.0,76.0,83.0,14.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,4.0,3,0,2.6666666666666665,2.0,2.433333333333333,3.6833333333333336,2.433333333333333,3.6833333333333336,2.433333333333333,3.6833333333333336,2.433333333333333,3.6833333333333336,2.433333333333333,3.6833333333333336,22.333333333333332,13.666666666666666,9.333333333333334,5.333333333333333,65.66666666666667,51.0,580.0,444.3333333333333,86.33333333333333,78.33333333333333,10.333333333333334,8.0,1.3333333333333333,2.0,0.0,0.0,1.6666666666666667,1.6666666666666667,6.333333333333333,6.0,1.0,1.3333333333333333
2.10.2021_Wolfsburg_B. Monchengladbach_1_3,2021-10-02,1. Bundesliga,Spieltag 7 von 34,Wolfsburg,B. Monchengladbach,1,3,2.0,3.5,3.6,2.0,3.5,3.6,2.0,3.5,3.6,2.0,3.5,3.6,2.0,3.5,3.6,12.0,19.0,5.0,10.0,52.0,48.0,410.0,383.0,80.0,75.0,17.0,10.0,5.0,3.0,1.0,0.0,2.0,3.0,4.0,6.0,0,3,1.0,0.3333333333333333,2.1766666666666663,2.65,2.1766666666666663,2.65,2.1766666666666663,2.65,2.1766666666666663,2.65,2.1766666666666663,2.65,13.666666666666666,14.0,5.666666666666667,3.6666666666666665,56.666666666666664,66.0,471.3333333333333,603.6666666666666,78.66666666666667,85.0,12.0,8.666666666666666,2.0,1.3333333333333333,0.0,0.0,3.0,2.3333333333333335,6.333333333333333,5.666666666666667,2.3333333333333335,0.0
2.10.2021_Dortmund_Augsburg_2_1,2021-10-02,1. Bundesliga,Spieltag 7 von 34,Dortmund,Augsburg,2,1,1.2,7.0,13.0,1.2,7.0,13.0,1.2,7.0,13.0,1.2,7.0,13.0,1.2,7.0,13.0,20.0,6.0,4.0,3.0,71.0,29.0,644.0,258.0,84.0,58.0,9.0,16.0,1.0,3.0,0.0,0.0,1.0,4.0,7.0,3.0,3,0,4.0,0.0,1.3633333333333333,5.0,1.3633333333333333,5.0,1.3633333333333333,5.0,1.3633333333333333,5.0,1.3633333333333333,5.0,16.666666666666668,9.0,8.333333333333334,2.6666666666666665,61.333333333333336,38.333333333333336,582.3333333333334,314.3333333333333,85.0,67.66666666666667,8.333333333333334,12.0,1.3333333333333333,2.0,0.0,0.0,2.6666666666666665,1.0,4.666666666666667,2.6666666666666665,3.0,0.6666666666666666
2.10.2021_RB Leipzig_Bochum_3_0,2021-10-02,1. Bundesliga,Spieltag 7 von 34,RB Leipzig,Bochum,3,0,1.16,7.5,15.0,1.16,7.5,15.0,1.16,7.5,15.0,1.16,7.5,15.0,1.16,7.5,15.0,16.0,9.0,9.0,2.0,60.0,40.0,522.0,345.0,79.0,70.0,10.0,16.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,3.0,3,0,3.6666666666666665,0.3333333333333333,1.9100000000000001,12.583333333333334,1.9100000000000001,12.583333333333334,1.9100000000000001,12.583333333333334,1.9100000000000001,12.583333333333334,1.9100000000000001,12.583333333333334,18.666666666666668,7.666666666666667,8.666666666666666,0.6666666666666666,55.666666666666664,32.333333333333336,479.3333333333333,280.6666666666667,83.0,66.66666666666667,9.0,12.333333333333334,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,2.6666666666666665,2.6666666666666665,3.3333333333333335,3.0,2.0,0.0
3.10.2021_Arminia Bielefeld_Bayer Leverkusen_0_4,2021-10-03,1. Bundesliga,Spieltag 7 von 34,Arminia Bielefeld,Bayer Leverkusen,0,4,4.75,4.2,1.65,4.75,4.2,1.65,4.75,4.2,1.65,4.75,4.2,1.65,4.75,4.2,1.65,10.0,18.0,2.0,7.0,33.0,67.0,314.0,628.0,74.0,86.0,13.0,7.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,0,3,0.3333333333333333,2.6666666666666665,3.2900000000000005,2.1166666666666667,3.2900000000000005,2.1166666666666667,3.2900000000000005,2.1166666666666667,3.2900000000000005,2.1166666666666667,3.2900000000000005,2.1166666666666667,10.666666666666666,12.333333333333334,3.3333333333333335,4.0,39.666666666666664,53.666666666666664,344.3333333333333,488.6666666666667,71.33333333333333,79.0,14.333333333333334,8.666666666666666,1.6666666666666667,1.6666666666666667,0.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,4.333333333333333,5.333333333333333,1.0,2.3333333333333335
3.10.2021_Bayern Munich_Eintracht Frankfurt_1_2,2021-10-03,1. Bundesliga,Spieltag 7 von 34,Bayern Munich,Eintracht Frankfurt,1,2,1.09,11.0,21.0,1.09,11.0,21.0,1.09,11.0,21.0,1.09,11.0,21.0,1.09,11.0,21.0,20.0,5.0,10.0,3.0,73.0,27.0,776.0,293.0,87.0,59.0,6.0,8.0,2.0,1.0,0.0,0.0,4.0,0.0,10.0,1.0,0,3,5.0,1.3333333333333333,1.1066666666666667,4.043333333333333,1.1066666666666667,4.043333333333333,1.1066666666666667,4.043333333333333,1.1066666666666667,4.043333333333333,1.1066666666666667,4.043333333333333,19.333333333333332,8.666666666666666,9.0,2.6666666666666665,64.0,48.0,613.3333333333334,441.0,84.33333333333333,74.66666666666667,7.666666666666667,16.0,0.6666666666666666,3.0,0.0,0.0,0.6666666666666666,1.0,4.333333333333333,3.6666666666666665,3.0,0.6666666666666666
15.10.2021_Hoffenheim_FC Koln_5_0,2021-10-15,1. Bundesliga,Spieltag 8 von 34,Hoffenheim,FC Koln,5,0,1.9,3.8,3.6,1.9,3.8,3.6,1.9,3.8,3.6,1.9,3.8,3.6,1.9,3.8,3.6,14.0,10.0,8.0,0.0,52.0,48.0,430.0,406.0,78.0,76.0,13.0,8.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,3,0,1.6666666666666667,1.3333333333333333,2.183333333333333,7.75,2.183333333333333,7.75,2.183333333333333,7.75,2.183333333333333,7.75,2.183333333333333,7.75,9.0,13.0,2.0,3.0,60.333333333333336,47.666666666666664,513.0,384.6666666666667,81.0,76.66666666666667,12.666666666666666,13.666666666666666,1.6666666666666667,1.6666666666666667,0.0,0.3333333333333333,1.3333333333333333,1.0,5.0,4.0,1.3333333333333333,0.6666666666666666
16.10.2021_Union Berlin_Wolfsburg_2_0,2021-10-16,1. Bundesliga,Spieltag 8 von 34,Union Berlin,Wolfsburg,2,0,2.25,3.2,3.3,2.25,3.2,3.3,2.25,3.2,3.3,2.25,3.2,3.3,2.25,3.2,3.3,5.0,13.0,3.0,4.0,39.0,61.0,350.0,560.0,69.0,81.0,7.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3,0,1.0,1.6666666666666667,1.9366666666666665,2.143333333333333,1.9366666666666665,2.143333333333333,1.9366666666666665,2.143333333333333,1.9366666666666665,2.143333333333333,1.9366666666666665,2.143333333333333,14.666666666666666,11.333333333333334,4.0,2.6666666666666665,47.666666666666664,60.333333333333336,415.6666666666667,495.6666666666667,73.0,83.66666666666667,11.333333333333334,15.333333333333334,1.3333333333333333,2.3333333333333335,0.0,0.0,1.6666666666666667,1.0,5.0,3.6666666666666665,2.3333333333333335,2.0
16.10.2021_Eintracht Frankfurt_Hertha Berlin_1_2,2021-10-16,1. Bundesliga,Spieltag 8 von 34,Eintracht Frankfurt,Hertha Berlin,1,2,1.75,3.8,4.5,1.75,3.8,4.5,1.75,3.8,4.5,1.75,3.8,4.5,1.75,3.8,4.5,13.0,12.0,5.0,6.0,59.0,41.0,485.0,346.0,77.0,71.0,17.0,14.0,1.0,2.0,0.0,0.0,0.0,6.0,7.0,4.0,0,3,0.6666666666666666,1.0,1.8733333333333333,9.206666666666667,1.8733333333333333,9.206666666666667,1.8733333333333333,9.206666666666667,1.8733333333333333,9.206666666666667,1.8733333333333333,9.206666666666667,16.0,5.333333333333333,4.0,3.0,55.333333333333336,35.333333333333336,429.3333333333333,313.6666666666667,72.66666666666667,71.33333333333333,11.0,13.666666666666666,2.0,2.0,0.0,0.0,2.0,3.0,6.333333333333333,2.0,1.0,1.0
