Match_ID,Attempts_Home,Attempts_Away,Attempts_On_Target_Home,Attempts_On_Target_Away,Possession_Home,Possession_Away,Passes_Home,Passes_Away,Passing_Accuracy_Home,Passing_Accuracy_Away,Fouls_Home,Fouls_Away,Yellow_Cards_Home,Yellow_Cards_Away,Red_Cards_Home,Red_Cards_Away,Offside_Home,Offside_Away,Corners_Home,Corners_Away
23.8.2024_Mönchengladbach_Leverkusen_2_3,14,25,7,10,42,58,444,612,82,86,11,7,1,0,0,0,2,0,2,4
24.8.2024_RB Leipzig_Bochum_1_0,13,10,3,4,63,37,505,301,81,70,9,16,1,3,1,0,3,2,9,3
24.8.2024_Hoffenheim_Holstein_3_2,21,17,8,6,55,45,460,383,83,79,8,14,2,1,0,1,2,1,8,6
24.8.2024_Mainz_Union Berlin_1_1,14,15,3,5,54,46,379,323,77,71,10,15,1,3,0,0,1,1,8,9
24.8.2024_Freiburg_VfB Stuttgart_3_1,16,9,6,2,32,68,309,646,76,88,7,10,2,1,0,0,3,0,6,3
24.8.2024_Augsburg_Werder Bremen_2_2,11,11,3,5,45,55,381,462,81,83,11,10,3,1,0,0,1,2,4,2
24.8.2024_Dortmund_Eintracht Frankfurt_2_0,20,7,5,2,71,29,709,295,91,82,6,3,0,1,0,0,0,1,7,7
25.8.2024_Wolfsburg_Bayern_2_3,10,15,2,8,29,71,248,609,68,85,12,11,2,3,0,0,3,1,1,7
25.8.2024_St. Pauli_Heidenheim_0_2,11,5,3,3,62,38,544,351,80,70,10,15,2,3,0,0,1,0,4,2
30.8.2024_Union Berlin_St. Pauli_1_0,11,8,5,1,39,61,370,589,74,78,10,11,3,1,0,0,2,3,5,4
31.8.2024_Werder Bremen_Dortmund_0_0,5,9,1,4,46,54,443,524,82,87,11,16,2,5,0,1,8,3,5,6
31.8.2024_Holstein_Wolfsburg_0_2,13,13,5,5,55,45,412,332,82,74,17,14,4,7,0,0,2,1,1,7
31.8.2024_VfB Stuttgart_Mainz_3_3,28,11,12,7,64,36,500,288,86,77,6,12,4,2,0,0,2,2,11,2
31.8.2024_Eintracht Frankfurt_Hoffenheim_3_1,18,11,7,3,51,49,465,444,85,84,10,10,0,3,0,0,1,1,1,4
31.8.2024_Bochum_Mönchengladbach_0_2,15,15,4,6,38,62,355,577,75,84,9,10,1,0,0,0,1,2,3,4
31.8.2024_Leverkusen_RB Leipzig_2_3,26,8,10,4,63,37,577,352,86,82,7,8,3,1,0,0,0,5,18,2
1.9.2024_Heidenheim_Augsburg_4_0,15,15,8,1,36,64,299,523,74,84,15,10,1,4,0,0,2,2,5,6
1.9.2024_Bayern_Freiburg_2_0,12,9,3,3,67,33,704,351,89,74,13,12,1,0,0,0,1,0,2,4
13.9.2024_Dortmund_Heidenheim_4_2,13,11,6,4,62,38,561,342,85,78,12,18,2,2,0,0,0,1,8,1
14.9.2024_Hoffenheim_Leverkusen_1_4,15,20,5,8,39,61,410,631,84,91,9,10,2,2,0,0,2,1,4,12
14.9.2024_Freiburg_Bochum_2_1,26,13,9,3,55,45,438,375,78,73,5,16,0,3,0,0,7,2,5,6
14.9.2024_Wolfsburg_Eintracht Frankfurt_1_2,18,14,4,6,60,40,501,344,81,78,7,18,1,2,0,0,0,3,5,4
14.9.2024_Mönchengladbach_VfB Stuttgart_1_3,15,12,7,7,43,57,419,548,77,82,14,12,2,2,0,0,8,2,6,2
14.9.2024_RB Leipzig_Union Berlin_0_0,15,10,3,3,68,32,745,350,88,74,8,19,2,3,0,0,1,1,6,5
14.9.2024_Holstein_Bayern_1_6,5,23,1,12,29,71,319,798,76,92,12,11,0,1,0,0,0,0,2,10
15.9.2024_Augsburg_St. Pauli_3_1,18,11,9,3,43,57,317,434,74,79,12,10,4,3,0,0,1,2,7,7
15.9.2024_Mainz_Werder Bremen_1_2,16,14,5,5,58,42,477,357,81,75,12,7,3,1,0,1,4,1,10,4
20.9.2024_Augsburg_Mainz_2_3,29,5,8,3,74,26,541,202,84,57,7,12,3,3,1,1,1,2,14,1
21.9.2024_Bochum_Holstein_2_2,14,14,3,4,44,56,345,428,73,78,19,9,4,1,0,0,0,4,2,5
21.9.2024_Heidenheim_Freiburg_0_3,7,15,1,5,42,58,374,514,75,79,6,7,1,1,0,0,2,1,3,9
21.9.2024_Union Berlin_Hoffenheim_2_1,12,7,2,3,52,48,456,425,82,76,17,18,3,3,0,0,1,0,5,5
21.9.2024_Werder Bremen_Bayern_0_5,0,25,0,7,30,70,358,844,79,92,4,13,0,3,0,0,0,1,1,4
21.9.2024_Eintracht Frankfurt_Mönchengladbach_2_0,18,25,4,7,36,64,367,642,84,89,10,12,1,1,0,0,0,2,8,5
22.9.2024_Leverkusen_Wolfsburg_4_3,20,9,7,4,80,20,773,202,91,68,6,14,4,5,0,1,4,1,6,2
22.9.2024_VfB Stuttgart_Dortmund_5_1,17,7,9,3,52,48,480,457,87,85,10,6,1,3,0,0,3,2,6,4
22.9.2024_St. Pauli_RB Leipzig_0_0,17,10,4,5,30,70,325,757,71,86,6,8,2,1,0,0,2,1,3,1
27.9.2024_Dortmund_Bochum_4_2,23,10,8,5,67,33,556,285,88,72,12,9,2,0,0,0,2,3,11,0
28.9.2024_Mainz_Heidenheim_0_2,7,14,2,6,51,49,390,389,75,74,10,10,2,4,1,1,0,2,7,6
28.9.2024_Wolfsburg_VfB Stuttgart_2_2,5,18,2,4,30,70,251,578,63,83,20,10,5,0,0,1,2,3,1,3
28.9.2024_Freiburg_St. Pauli_0_3,9,10,2,4,74,26,632,235,86,65,7,18,3,3,0,0,7,1,4,2
28.9.2024_RB Leipzig_Augsburg_4_0,17,7,7,1,60,40,560,384,85,78,9,13,1,2,0,0,1,1,8,5
28.9.2024_Mönchengladbach_Union Berlin_1_0,8,9,2,2,64,36,610,341,83,68,11,12,3,1,0,0,3,1,2,4
28.9.2024_Bayern_Leverkusen_1_1,18,3,3,2,70,30,714,319,90,74,11,15,1,3,0,0,0,0,6,1
29.9.2024_Holstein_Eintracht Frankfurt_2_4,10,20,5,10,47,53,381,421,79,84,12,12,1,3,0,0,1,1,4,9
29.9.2024_Hoffenheim_Werder Bremen_3_4,10,23,5,10,35,65,325,592,79,90,11,19,3,3,1,0,1,1,2,6
4.10.2024_Augsburg_Mönchengladbach_2_1,15,11,5,4,34,66,305,603,70,82,13,15,2,4,0,0,3,2,6,5
5.10.2024_Werder Bremen_Freiburg_0_1,12,15,3,3,59,41,614,441,84,80,7,9,1,1,0,0,0,0,7,5
5.10.2024_Union Berlin_Dortmund_2_1,14,8,5,4,32,68,278,593,66,83,15,17,4,4,0,0,4,0,3,3
5.10.2024_Bochum_Wolfsburg_1_3,18,17,5,5,58,42,406,307,76,66,11,12,1,2,0,0,5,1,7,6
5.10.2024_Leverkusen_Holstein_2_2,23,8,7,4,75,25,796,283,91,73,5,9,2,2,0,0,3,1,12,3
5.10.2024_St. Pauli_Mainz_0_3,19,8,4,4,56,44,504,420,79,76,12,16,0,3,0,0,1,1,2,2
6.10.2024_Heidenheim_RB Leipzig_0_1,14,13,4,2,45,55,397,491,72,79,12,13,2,2,0,0,1,2,3,2
6.10.2024_Eintracht Frankfurt_Bayern_3_3,6,24,4,13,25,75,305,853,77,91,10,6,1,1,0,0,3,5,0,11
6.10.2024_VfB Stuttgart_Hoffenheim_1_1,20,7,6,5,68,32,664,323,89,77,10,7,1,4,0,0,0,0,10,5
18.10.2024_Dortmund_St. Pauli_2_1,20,10,7,3,76,24,767,250,92,75,8,7,2,1,0,0,1,1,7,1
19.10.2024_Mainz_RB Leipzig_0_2,17,11,2,5,54,46,509,459,78,75,12,15,1,3,0,0,2,0,5,3
19.10.2024_Hoffenheim_Bochum_3_1,12,13,7,4,50,50,415,419,77,78,10,12,1,1,0,0,3,0,4,2
19.10.2024_Freiburg_Augsburg_3_1,15,9,6,3,57,43,575,429,82,81,11,7,1,1,0,0,0,2,5,4
19.10.2024_Leverkusen_Eintracht Frankfurt_2_1,27,9,9,2,54,46,545,470,91,87,9,5,2,1,0,0,2,2,8,3
19.10.2024_Mönchengladbach_Heidenheim_3_2,20,19,10,6,67,33,523,257,81,68,15,9,3,3,0,0,0,2,6,3
19.10.2024_Bayern_VfB Stuttgart_4_0,22,4,10,1,66,34,699,360,89,78,6,10,0,2,0,0,2,2,7,3
20.10.2024_Holstein_Union Berlin_0_2,12,14,5,4,47,53,433,480,79,82,8,11,2,1,0,0,1,4,7,3
20.10.2024_Wolfsburg_Werder Bremen_2_4,14,15,6,7,42,58,390,533,78,82,15,9,1,1,1,0,4,0,4,4
25.10.2024_Mainz_Mönchengladbach_1_1,23,9,6,5,52,48,473,441,80,77,16,16,3,2,0,0,2,0,2,4
26.10.2024_RB Leipzig_Freiburg_3_1,12,15,9,5,42,58,413,559,80,84,9,7,3,2,0,0,1,1,3,3
26.10.2024_Augsburg_Dortmund_2_1,12,11,4,4,23,77,224,722,68,88,13,10,3,1,0,1,1,1,3,5
26.10.2024_St. Pauli_Wolfsburg_0_0,14,9,5,4,54,46,499,433,80,79,9,12,0,3,0,0,2,3,7,6
26.10.2024_VfB Stuttgart_Holstein_2_1,16,9,6,3,59,41,528,368,88,80,6,17,1,4,1,1,2,3,9,5
26.10.2024_Werder Bremen_Leverkusen_2_2,13,14,8,5,43,57,468,613,80,84,9,11,1,1,0,0,3,1,3,5
27.10.2024_Bochum_Bayern_0_5,6,19,2,10,27,73,274,742,68,90,15,6,1,1,0,0,3,3,2,6
27.10.2024_Union Berlin_Eintracht Frankfurt_1_1,13,17,4,5,48,52,448,491,74,77,13,7,5,1,0,1,4,1,4,5
27.10.2024_Heidenheim_Hoffenheim_0_0,17,12,3,4,46,54,380,444,76,79,12,16,1,2,0,0,0,0,7,3
1.11.2024_Leverkusen_VfB Stuttgart_0_0,19,4,5,1,52,48,447,433,83,80,13,14,3,4,0,0,9,0,10,2
2.11.2024_Eintracht Frankfurt_Bochum_7_2,18,11,9,8,65,35,588,310,85,71,6,15,1,2,0,0,0,1,5,2
2.11.2024_Holstein_Heidenheim_1_0,11,17,6,5,45,55,329,389,73,78,16,14,4,5,0,0,1,0,5,6
2.11.2024_Wolfsburg_Augsburg_1_1,18,3,6,1,70,30,624,269,85,67,7,14,1,3,0,0,0,1,8,1
2.11.2024_Bayern_Union Berlin_3_0,16,8,7,1,78,22,865,247,92,68,2,9,0,2,0,0,1,3,7,4
2.11.2024_Hoffenheim_St. Pauli_0_2,12,7,6,3,68,32,620,306,84,71,10,10,0,1,0,0,2,0,7,2
2.11.2024_Dortmund_RB Leipzig_2_1,20,7,7,3,56,44,517,406,82,79,11,12,3,4,0,0,2,2,4,0
3.11.2024_Freiburg_Mainz_0_0,10,9,2,2,51,49,482,459,78,78,9,12,1,2,0,0,2,2,8,4
3.11.2024_Mönchengladbach_Werder Bremen_4_1,16,15,8,5,47,53,487,531,81,85,12,10,1,2,0,1,2,1,7,7
8.11.2024_Union Berlin_Freiburg_0_0,12,14,6,4,40,60,373,574,76,83,11,8,2,0,0,0,4,1,4,1
9.11.2024_Werder Bremen_Holstein_2_1,16,12,5,5,61,39,534,359,83,71,10,19,3,2,0,0,0,2,6,3
9.11.2024_Bochum_Leverkusen_1_1,15,11,3,3,29,71,281,719,76,89,10,9,0,1,0,0,1,3,6,4
9.11.2024_Mainz_Dortmund_3_1,13,2,9,1,53,47,478,442,84,81,17,5,3,1,0,1,3,0,8,0
9.11.2024_St. Pauli_Bayern_0_1,3,13,0,6,25,75,268,826,73,89,10,7,2,2,0,0,0,2,5,10
9.11.2024_RB Leipzig_Mönchengladbach_0_0,12,14,5,4,62,38,616,379,86,80,14,7,2,2,0,0,2,4,8,4
10.11.2024_Augsburg_Hoffenheim_0_0,16,11,4,2,44,56,442,561,81,83,16,7,2,3,0,0,2,3,10,6
10.11.2024_VfB Stuttgart_Eintracht Frankfurt_2_3,22,8,11,5,61,39,561,373,85,77,10,15,2,2,0,0,5,4,8,3
10.11.2024_Heidenheim_Wolfsburg_1_3,19,13,4,6,66,34,507,272,83,69,9,23,1,6,0,0,4,0,5,5
22.11.2024_Bayern_Augsburg_3_0,33,2,14,1,80,20,881,218,92,70,9,9,0,0,0,1,1,0,8,0
23.11.2024_Hoffenheim_RB Leipzig_4_3,20,14,7,6,60,40,508,339,83,76,14,12,2,1,0,0,1,4,4,3
23.11.2024_Dortmund_Freiburg_4_0,19,7,7,3,60,40,633,439,90,82,11,4,1,0,0,2,0,0,7,0
23.11.2024_Wolfsburg_Union Berlin_1_0,10,11,5,4,56,44,510,410,82,81,7,15,1,2,0,0,1,2,8,5
23.11.2024_Leverkusen_Heidenheim_5_2,20,6,10,3,79,21,948,252,91,71,8,11,0,0,0,0,0,1,6,0
23.11.2024_VfB Stuttgart_Bochum_2_0,15,9,5,2,58,42,591,420,86,82,7,16,2,3,0,0,2,1,7,4
23.11.2024_Eintracht Frankfurt_Werder Bremen_1_0,15,8,5,1,50,50,475,467,82,79,15,9,2,2,0,0,1,4,5,6
24.11.2024_Holstein_Mainz_0_3,7,18,2,7,38,62,350,556,75,84,11,7,1,0,0,0,1,2,2,6
24.11.2024_Mönchengladbach_St. Pauli_2_0,15,15,4,3,49,51,546,550,88,87,7,8,1,0,0,0,1,3,5,4
29.11.2024_St. Pauli_Holstein_3_1,11,10,4,3,48,52,410,454,77,78,10,11,2,5,0,0,3,0,4,4
30.11.2024_Union Berlin_Leverkusen_1_2,8,8,2,3,37,63,343,568,72,85,18,11,4,2,0,0,1,0,1,3
30.11.2024_Augsburg_Bochum_1_0,16,7,4,1,54,46,454,399,77,71,8,22,3,3,0,0,3,0,6,1
30.11.2024_Werder Bremen_VfB Stuttgart_2_2,20,10,6,4,42,58,396,557,80,85,8,13,1,1,0,0,0,1,11,2
30.11.2024_RB Leipzig_Wolfsburg_1_5,9,13,4,8,63,37,637,386,88,79,11,6,2,1,0,0,4,0,7,3
30.11.2024_Freiburg_Mönchengladbach_3_1,17,15,7,4,48,52,445,474,82,84,5,14,1,1,0,0,1,0,4,6
30.11.2024_Dortmund_Bayern_1_1,7,14,2,5,32,68,304,615,72,87,11,7,2,2,0,0,1,4,2,3
1.12.2024_Mainz_Hoffenheim_2_0,18,10,8,2,53,47,438,406,73,75,13,12,1,3,0,0,0,2,8,3
1.12.2024_Heidenheim_Eintracht Frankfurt_0_4,8,14,1,8,46,54,427,508,76,84,7,9,0,2,0,0,2,3,6,5
6.12.2024_VfB Stuttgart_Union Berlin_3_2,7,14,5,3,65,35,608,326,84,70,14,19,1,6,0,0,2,0,1,6
7.12.2024_Leverkusen_St. Pauli_2_1,6,12,2,4,63,37,663,385,88,80,8,10,1,3,0,0,3,2,7,4
7.12.2024_Bayern_Heidenheim_4_2,21,2,10,2,83,17,991,206,93,66,4,5,1,0,0,0,1,0,8,0
7.12.2024_Holstein_RB Leipzig_0_2,17,9,5,5,56,44,484,393,79,78,11,13,4,3,0,0,2,2,6,1
7.12.2024_Eintracht Frankfurt_Augsburg_2_2,16,8,4,3,68,32,571,276,84,71,17,9,2,2,0,0,1,4,4,0
7.12.2024_Bochum_Werder Bremen_0_1,12,9,2,1,52,48,446,439,77,76,12,10,1,1,0,0,1,0,9,5
7.12.2024_Mönchengladbach_Dortmund_1_1,9,16,3,3,39,61,344,529,79,87,16,11,1,2,1,0,3,1,7,4
8.12.2024_Wolfsburg_Mainz_4_3,10,12,5,5,43,57,395,507,78,80,10,15,3,4,0,0,0,1,3,5
