Match_ID,Date,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away
23.8.2024_Mönchengladbach_Leverkusen_2_3,23.8.2024,Spieltag 1 von 34,Mönchengladbach,Leverkusen,2,3
24.8.2024_RB Leipzig_Bochum_1_0,24.8.2024,Spieltag 1 von 34,RB Leipzig,Bochum,1,0
24.8.2024_Hoffenheim_Holstein_3_2,24.8.2024,Spieltag 1 von 34,Hoffenheim,Holstein,3,2
24.8.2024_Mainz_Union Berlin_1_1,24.8.2024,Spieltag 1 von 34,Mainz,Union Berlin,1,1
24.8.2024_Freiburg_VfB Stuttgart_3_1,24.8.2024,Spieltag 1 von 34,Freiburg,VfB Stuttgart,3,1
24.8.2024_Augsburg_Werder Bremen_2_2,24.8.2024,Spieltag 1 von 34,Augsburg,Werder Bremen,2,2
24.8.2024_Dortmund_Eintracht Frankfurt_2_0,24.8.2024,Spieltag 1 von 34,Dortmund,Eintracht Frankfurt,2,0
25.8.2024_Wolfsburg_Bayern_2_3,25.8.2024,Spieltag 1 von 34,Wolfsburg,Bayern,2,3
25.8.2024_St. Pauli_Heidenheim_0_2,25.8.2024,Spieltag 1 von 34,St. Pauli,Heidenheim,0,2
30.8.2024_Union Berlin_St. Pauli_1_0,30.8.2024,Spieltag 2 von 34,Union Berlin,St. Pauli,1,0
31.8.2024_Werder Bremen_Dortmund_0_0,31.8.2024,Spieltag 2 von 34,Werder Bremen,Dortmund,0,0
31.8.2024_Holstein_Wolfsburg_0_2,31.8.2024,Spieltag 2 von 34,Holstein,Wolfsburg,0,2
31.8.2024_VfB Stuttgart_Mainz_3_3,31.8.2024,Spieltag 2 von 34,VfB Stuttgart,Mainz,3,3
31.8.2024_Eintracht Frankfurt_Hoffenheim_3_1,31.8.2024,Spieltag 2 von 34,Eintracht Frankfurt,Hoffenheim,3,1
31.8.2024_Bochum_Mönchengladbach_0_2,31.8.2024,Spieltag 2 von 34,Bochum,Mönchengladbach,0,2
31.8.2024_Leverkusen_RB Leipzig_2_3,31.8.2024,Spieltag 2 von 34,Leverkusen,RB Leipzig,2,3
1.9.2024_Heidenheim_Augsburg_4_0,1.9.2024,Spieltag 2 von 34,Heidenheim,Augsburg,4,0
1.9.2024_Bayern_Freiburg_2_0,1.9.2024,Spieltag 2 von 34,Bayern,Freiburg,2,0
13.9.2024_Dortmund_Heidenheim_4_2,13.9.2024,Spieltag 3 von 34,Dortmund,Heidenheim,4,2
14.9.2024_Hoffenheim_Leverkusen_1_4,14.9.2024,Spieltag 3 von 34,Hoffenheim,Leverkusen,1,4
14.9.2024_Freiburg_Bochum_2_1,14.9.2024,Spieltag 3 von 34,Freiburg,Bochum,2,1
14.9.2024_Wolfsburg_Eintracht Frankfurt_1_2,14.9.2024,Spieltag 3 von 34,Wolfsburg,Eintracht Frankfurt,1,2
14.9.2024_Mönchengladbach_VfB Stuttgart_1_3,14.9.2024,Spieltag 3 von 34,Mönchengladbach,VfB Stuttgart,1,3
14.9.2024_RB Leipzig_Union Berlin_0_0,14.9.2024,Spieltag 3 von 34,RB Leipzig,Union Berlin,0,0
14.9.2024_Holstein_Bayern_1_6,14.9.2024,Spieltag 3 von 34,Holstein,Bayern,1,6
15.9.2024_Augsburg_St. Pauli_3_1,15.9.2024,Spieltag 3 von 34,Augsburg,St. Pauli,3,1
15.9.2024_Mainz_Werder Bremen_1_2,15.9.2024,Spieltag 3 von 34,Mainz,Werder Bremen,1,2
20.9.2024_Augsburg_Mainz_2_3,20.9.2024,Spieltag 4 von 34,Augsburg,Mainz,2,3
21.9.2024_Bochum_Holstein_2_2,21.9.2024,Spieltag 4 von 34,Bochum,Holstein,2,2
21.9.2024_Heidenheim_Freiburg_0_3,21.9.2024,Spieltag 4 von 34,Heidenheim,Freiburg,0,3
21.9.2024_Union Berlin_Hoffenheim_2_1,21.9.2024,Spieltag 4 von 34,Union Berlin,Hoffenheim,2,1
21.9.2024_Werder Bremen_Bayern_0_5,21.9.2024,Spieltag 4 von 34,Werder Bremen,Bayern,0,5
21.9.2024_Eintracht Frankfurt_Mönchengladbach_2_0,21.9.2024,Spieltag 4 von 34,Eintracht Frankfurt,Mönchengladbach,2,0
22.9.2024_Leverkusen_Wolfsburg_4_3,22.9.2024,Spieltag 4 von 34,Leverkusen,Wolfsburg,4,3
22.9.2024_VfB Stuttgart_Dortmund_5_1,22.9.2024,Spieltag 4 von 34,VfB Stuttgart,Dortmund,5,1
22.9.2024_St. Pauli_RB Leipzig_0_0,22.9.2024,Spieltag 4 von 34,St. Pauli,RB Leipzig,0,0
27.9.2024_Dortmund_Bochum_4_2,27.9.2024,Spieltag 5 von 34,Dortmund,Bochum,4,2
28.9.2024_Mainz_Heidenheim_0_2,28.9.2024,Spieltag 5 von 34,Mainz,Heidenheim,0,2
28.9.2024_Wolfsburg_VfB Stuttgart_2_2,28.9.2024,Spieltag 5 von 34,Wolfsburg,VfB Stuttgart,2,2
28.9.2024_Freiburg_St. Pauli_0_3,28.9.2024,Spieltag 5 von 34,Freiburg,St. Pauli,0,3
28.9.2024_RB Leipzig_Augsburg_4_0,28.9.2024,Spieltag 5 von 34,RB Leipzig,Augsburg,4,0
28.9.2024_Mönchengladbach_Union Berlin_1_0,28.9.2024,Spieltag 5 von 34,Mönchengladbach,Union Berlin,1,0
28.9.2024_Bayern_Leverkusen_1_1,28.9.2024,Spieltag 5 von 34,Bayern,Leverkusen,1,1
29.9.2024_Holstein_Eintracht Frankfurt_2_4,29.9.2024,Spieltag 5 von 34,Holstein,Eintracht Frankfurt,2,4
29.9.2024_Hoffenheim_Werder Bremen_3_4,29.9.2024,Spieltag 5 von 34,Hoffenheim,Werder Bremen,3,4
