,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin,Upcoming
10.1.2025_Dortmund_Bayer Leverkusen_None_None,10.1.2025,Dortmund,Bayer Leverkusen,,,2.86,3.49,2.38,2.87,3.6,2.3,2.85,3.4,2.45,2.87,3.45,2.42,2.65,3.6,2.5,True
11.1.2025_Freiburg_Holstein Kiel_None_None,11.1.2025,Freiburg,Holstein Kiel,,,1.39,4.83,7.63,1.37,4.75,7.5,1.38,5.0,7.5,1.39,4.85,8.0,1.38,5.0,7.75,True
11.1.2025_Heidenheim_Union Berlin_None_None,11.1.2025,Heidenheim,Union Berlin,,,3.26,3.19,2.3,3.2,3.25,2.3,3.3,3.2,2.3,3.3,3.15,2.32,3.1,3.25,2.35,True
11.1.2025_Hoffenheim_Wolfsburg_None_None,11.1.2025,Hoffenheim,Wolfsburg,,,2.39,3.46,2.89,2.37,3.6,2.8,2.4,3.4,2.95,2.42,3.35,2.95,2.35,3.5,2.9,True
11.1.2025_Mainz_Bochum_None_None,11.1.2025,Mainz,Bochum,,,1.55,4.23,5.79,1.5,4.33,5.75,1.55,4.3,5.75,1.57,4.2,5.8,1.53,4.33,5.75,True
11.1.2025_St. Pauli_Eintracht Frankfurt_None_None,11.1.2025,St. Pauli,Eintracht Frankfurt,,,3.69,3.4,2.06,3.7,3.5,2.05,3.75,3.35,2.05,3.75,3.3,2.1,3.4,3.6,2.05,True
11.1.2025_B. Monchengladbach_Bayern Munich_None_None,11.1.2025,B. Monchengladbach,Bayern Munich,,,6.73,5.09,1.4,6.5,5.0,1.39,7.0,5.25,1.38,7.0,5.1,1.4,6.25,5.25,1.42,True
12.1.2025_RB Leipzig_Werder Bremen_None_None,12.1.2025,RB Leipzig,Werder Bremen,,,1.74,4.05,4.26,1.72,4.0,4.2,1.75,4.1,4.3,1.75,4.05,4.35,1.75,4.1,4.2,True
12.1.2025_Augsburg_Stuttgart_None_None,12.1.2025,Augsburg,Stuttgart,,,3.66,3.59,1.99,3.6,3.6,2.0,3.7,3.65,1.95,3.7,3.6,2.0,3.5,3.6,2.0,True
14.1.2025_Holstein Kiel_Dortmund_None_None,14.1.2025,Holstein Kiel,Dortmund,,,5.9,4.93,1.45,5.75,5.0,1.41,5.75,4.9,1.45,5.9,5.0,1.47,6.0,4.8,1.47,True
14.1.2025_Bayer Leverkusen_Mainz_None_None,14.1.2025,Bayer Leverkusen,Mainz,,,1.42,4.72,6.54,1.41,4.75,6.25,1.4,4.9,6.5,1.45,4.65,6.7,1.46,4.6,6.5,True
14.1.2025_Eintracht Frankfurt_Freiburg_None_None,14.1.2025,Eintracht Frankfurt,Freiburg,,,1.72,4.04,4.29,1.69,4.0,4.2,1.7,4.1,4.3,1.75,4.1,4.35,1.73,4.0,4.33,True
14.1.2025_Wolfsburg_B. Monchengladbach_None_None,14.1.2025,Wolfsburg,B. Monchengladbach,,,1.94,3.84,3.51,1.92,3.8,3.5,1.93,3.95,3.5,1.98,3.85,3.5,1.98,3.75,3.5,True
15.1.2025_Bochum_St. Pauli_None_None,15.1.2025,Bochum,St. Pauli,,,2.47,3.38,2.8,2.45,3.5,2.7,2.45,3.3,2.85,2.5,3.35,2.85,2.45,3.4,2.75,True
15.1.2025_Bayern Munich_Hoffenheim_None_None,15.1.2025,Bayern Munich,Hoffenheim,,,1.12,9.05,16.75,1.1,8.5,19.0,1.12,10.0,14.0,1.15,8.5,16.5,1.13,9.25,18.5,True
15.1.2025_Union Berlin_Augsburg_None_None,15.1.2025,Union Berlin,Augsburg,,,1.85,3.43,4.4,1.82,3.4,4.5,1.85,3.45,4.4,1.88,3.45,4.35,1.87,3.4,4.33,True
15.1.2025_Stuttgart_RB Leipzig_None_None,15.1.2025,Stuttgart,RB Leipzig,,,2.14,3.66,3.19,2.15,3.8,3.1,2.15,3.55,3.3,2.15,3.55,3.25,2.15,3.75,3.1,True
15.1.2025_Werder Bremen_Heidenheim_None_None,15.1.2025,Werder Bremen,Heidenheim,,,1.6,4.21,5.11,1.57,4.2,5.25,1.6,4.3,5.0,1.62,4.25,5.0,1.58,4.33,5.25,True
